Date,Country,Infections,Recovered,Deaths
22-Jan,China,548,0,17
23-Jan,China,643,2,18
24-Jan,China,920,5,26
25-Jan,China,1406,7,42
26-Jan,China,2075,7,56
27-Jan,China,2877,13,82
28-Jan,China,5509,21,131
29-Jan,China,6087,32,133
30-Jan,China,8141,45,171
31-Jan,China,9802,73,213
1-Feb,China,11891,107,259
2-Feb,China,16630,168,361
3-Feb,China,19716,228,425
4-Feb,China,23707,321,491
5-Feb,China,27440,482,563
6-Feb,China,30587,660,633
7-Feb,China,34110,884,718
8-Feb,China,36814,1157,805
9-Feb,China,39829,1424,905
10-Feb,China,42354,1696,1012
11-Feb,China,44386,1997,1112
12-Feb,China,44759,2396,1117
13-Feb,China,59895,2758,1369
14-Feb,China,66358,3203,1521
15-Feb,China,68413,3675,1663
16-Feb,China,70513,4116,1766
17-Feb,China,72434,4600,1864
18-Feb,China,74211,5078,2003
19-Feb,China,74619,5625,2116
20-Feb,China,75077,6226,2238
21-Feb,China,75550,6823,2238
22-Feb,China,77001,7400,2443
23-Feb,China,77022,7844,2445
24-Feb,China,77241,8267,2595
25-Feb,China,77754,8705,2665
26-Feb,China,78166,9115,2717
27-Feb,China,78600,9547,2746
28-Feb,China,78928,9926,2790
29-Feb,China,79356,10327,2837
1-Mar,China,79932,10626,2872
2-Mar,China,80136,10920,2914
3-Mar,China,80261,11242,2947
4-Mar,China,80386,11444,2983
5-Mar,China,80537,11700,3015
6-Mar,China,80690,11911,3044
7-Mar,China,80770,12039,3072
8-Mar,China,80823,12153,3100
9-Mar,China,80860,12316,3123
10-Mar,China,80887,12438,3139
11-Mar,China,80921,12510,3161
12-Mar,China,80932,12583,3172
13-Mar,China,80945,64196,3180
14-Mar,China,80977,65660,3193
15-Mar,China,81003,67017,3203
16-Mar,China,81033,67910,3217
17-Mar,China,81058,68798,3230
18-Mar,China,81102,69755,3241
19-Mar,China,81156,70535,3249
22-Jan,Italy,0,0,0
23-Jan,Italy,0,0,0
24-Jan,Italy,0,0,0
25-Jan,Italy,0,0,0
26-Jan,Italy,0,0,0
27-Jan,Italy,0,0,0
28-Jan,Italy,0,0,0
29-Jan,Italy,0,0,0
30-Jan,Italy,0,0,0
31-Jan,Italy,2,0,0
1-Feb,Italy,2,0,0
2-Feb,Italy,2,0,0
3-Feb,Italy,2,0,0
4-Feb,Italy,2,0,0
5-Feb,Italy,2,0,0
6-Feb,Italy,2,0,0
7-Feb,Italy,3,0,0
8-Feb,Italy,3,0,0
9-Feb,Italy,3,0,0
10-Feb,Italy,3,0,0
11-Feb,Italy,3,0,0
12-Feb,Italy,3,0,0
13-Feb,Italy,3,0,0
14-Feb,Italy,3,0,0
15-Feb,Italy,3,0,0
16-Feb,Italy,3,0,0
17-Feb,Italy,3,0,0
18-Feb,Italy,3,0,0
19-Feb,Italy,3,0,0
20-Feb,Italy,3,0,0
21-Feb,Italy,20,0,1
22-Feb,Italy,62,1,2
23-Feb,Italy,155,2,3
24-Feb,Italy,229,1,7
25-Feb,Italy,322,1,10
26-Feb,Italy,453,3,12
27-Feb,Italy,655,45,17
28-Feb,Italy,888,46,21
29-Feb,Italy,1128,46,29
1-Mar,Italy,1694,83,34
2-Mar,Italy,2036,149,52
3-Mar,Italy,2502,160,79
4-Mar,Italy,3089,276,107
5-Mar,Italy,3858,414,148
6-Mar,Italy,4636,523,197
7-Mar,Italy,5883,589,233
8-Mar,Italy,7375,622,366
9-Mar,Italy,9172,724,463
10-Mar,Italy,10149,724,631
11-Mar,Italy,12462,1045,827
12-Mar,Italy,12462,1045,827
13-Mar,Italy,17660,1439,1266
14-Mar,Italy,21157,1966,1441
